condition,confidence,evidence_excerpt_positions,failure_class,first_gold_candidate_pos,first_gold_strong_candidate_pos,fp_correct,fp_num_tokens,gold,hadamard_available,hadamard_correct,hadamard_tokens,hit_limit,int8_candidate_count,last_gold_candidate_pos,last_gold_strong_candidate_pos,longest_repeated_span,model,num_candidate_changes,num_generated_tokens,problem_id,repeated_16gram_fraction,repeated_32gram_fraction,repeated_8gram_fraction,seed,self_correction_count,signals,strong_candidate_aba_count,strong_candidate_count,strong_num_candidate_changes,v4_result
int8_c128,LOW,"repeat=64@35840,36357;corrections=868;candidate_changes=2",UNCLEAR,,,True,15676,79,True,True,19289,True,3,,,64,qwen,2,81920,aime26_03,0.030071424210976083,0.0014776099354003591,0.17030263816488223,2,868,,0,1,0,ABSTAIN
int8_c128,MEDIUM,"repeat=512@75543,77115;corrections=3326;candidate_changes=6",TEXTUAL_REPETITION_LOOP,,,True,52793,896,True,True,42667,True,7,,,512,qwen,6,81920,aime26_11,0.11891825895854957,0.09113556155283375,0.22604470596852755,2,3326,TEXTUAL_REPETITION,0,0,0,ABSTAIN
int8_c128,MEDIUM,"first_gold=30659;repeat=64@48882,65181;corrections=730;candidate_changes=31",REASONING_OSCILLATION,30659,30659,True,39266,39,True,False,36814,True,43,75296,75296,64,qwen,31,81920,aime26_13,0.07546547829802819,0.005556301823199661,0.30348052201726217,2,730,ANSWER_OSCILLATION|EARLY_GOLD_WITHOUT_COMMIT,1,12,9,ABSTAIN
int8_c128,MEDIUM,"repeat=32@51869,56655;corrections=672;candidate_changes=13",REASONING_OSCILLATION,,,False,66373,83,True,False,57384,True,17,,,32,qwen,13,81920,aime26_15,0.007093584030278932,0.00017096313302156219,0.09449049601406367,2,672,ANSWER_OSCILLATION,1,8,6,ABSTAIN
int8_c128,LOW,"repeat=100@1090,71333;corrections=690;candidate_changes=1",UNCLEAR,,,True,46071,243,True,False,53469,True,3,,,100,qwen,1,81920,aime26_17,0.010438923142665257,0.0018317478538021348,0.14233393966769625,2,690,,0,1,0,ABSTAIN
int8_c128,MEDIUM,"repeat=100@80487,81504;corrections=2232;candidate_changes=7",TEXTUAL_REPETITION_LOOP,,,True,18170,279,True,True,17324,True,10,,,100,qwen,7,81920,aime26_19,0.09777180880288139,0.05385338690178165,0.27177615274742717,2,2232,TEXTUAL_REPETITION,0,0,0,ABSTAIN
int8_c128,LOW,"first_gold=25296;repeat=64@14222,18142;corrections=544;candidate_changes=13",UNCLEAR,25296,,True,29144,245,True,True,27034,True,15,74028,,64,qwen,13,81920,aime26_23,0.08052011476710819,0.011271355127062233,0.2675277428491204,2,544,,0,0,0,ABSTAIN
int8_c128,LOW,"repeat=100@12578,68585;corrections=577;candidate_changes=8",UNCLEAR,,,True,28836,850,True,True,24584,True,13,,,100,qwen,8,81920,aime26_25,0.03947255967279162,0.0042740783255382775,0.21475223712963754,2,577,,0,0,0,ABSTAIN
int8_c128,LOW,"repeat=64@26858,27101;corrections=474;candidate_changes=3",PRODUCTIVE_LONG_REASONING,,,True,26871,157,True,False,45669,True,9,,,64,qwen,3,81920,aime26_29,0.018924363591966253,0.0010868370599226296,0.15720337431176978,2,474,,0,6,0,ABSTAIN
int8_c128,LOW,"first_gold=79966;repeat=128@48886,53998;corrections=799;candidate_changes=7",UNCLEAR,79966,79966,True,25281,70,True,True,22271,True,9,79966,79966,128,qwen,7,81920,aime26_04,0.03786093645076616,0.017694684267728245,0.1867591224836107,1,799,,0,2,1,ABSTAIN
int8_c128,LOW,"repeat=64@1017,16745;corrections=764;candidate_changes=2",UNCLEAR,,,False,51228,156,True,False,43040,True,3,,,64,qwen,2,81920,aime26_10,0.02194005249984743,0.0025644469953229887,0.14176016016993642,1,764,,0,0,0,ABSTAIN
int8_c128,LOW,"repeat=128@72142,72622;corrections=508;candidate_changes=4",UNCLEAR,,,True,27514,503,True,True,47330,True,6,,,128,qwen,4,81920,aime26_18,0.02676271289909038,0.004982354162341718,0.13986790863477105,1,508,,0,0,0,ABSTAIN
int8_c128,LOW,"repeat=64@28259,59917;corrections=775;candidate_changes=0",UNCLEAR,,,True,28311,754,True,False,28049,True,1,,,64,qwen,0,81920,aime26_22,0.03909407240095231,0.00437177154440771,0.16897195805305631,1,775,,0,0,0,ABSTAIN
int8_c128,LOW,"repeat=64@16442,16908;corrections=772;candidate_changes=10",UNCLEAR,,,True,31563,669,True,True,27088,True,14,,,64,qwen,10,81920,aime26_24,0.12861241682436975,0.018867002894161655,0.35181228864771164,1,772,,0,1,0,ABSTAIN
int8_c128,LOW,"repeat=64@29505,57276;corrections=468;candidate_changes=6",UNCLEAR,,,True,34321,132,True,True,26706,True,9,,,64,qwen,6,81920,aime26_26,0.07069165496611929,0.007314779762849666,0.29155323330851024,1,468,,0,1,0,ABSTAIN
int8_c128,LOW,"repeat=32@23483,23659;corrections=626;candidate_changes=5",UNCLEAR,,,False,81920,107,True,False,64764,True,8,,,32,qwen,5,81920,aime26_28,0.011989500030523126,0.00042740783255379444,0.13832969125779793,1,626,,0,1,0,ABSTAIN
int8_c128,MEDIUM,"repeat=64@2425,27257;corrections=534;candidate_changes=16",REASONING_OSCILLATION,,,False,68238,393,True,False,46990,True,25,,,64,qwen,16,81920,aime26_30,0.035260362615224916,0.003810035535908418,0.185697020009034,1,534,ANSWER_OSCILLATION,9,20,13,EXTRACTED
int8_c128,MEDIUM,"first_gold=32884;repeat=128@11515,23832;corrections=677;candidate_changes=18",ANSWER_COMMIT_FAILURE,32884,32884,True,22073,70,True,False,33978,True,22,74038,74038,128,qwen,18,81920,aime26_04,0.04948415847628351,0.026914481798532175,0.21019862537082024,2,677,EARLY_GOLD_WITHOUT_COMMIT,0,6,0,ABSTAIN
int8_c128,LOW,"repeat=32@838,2202;corrections=738;candidate_changes=2",UNCLEAR,,,False,44780,156,True,False,47024,True,3,,,32,qwen,2,81920,aime26_10,0.026078993956412888,0.002820891694855221,0.15522566625566148,2,738,,0,0,0,ABSTAIN
int8_c128,LOW,"repeat=32@23763,25538;corrections=709;candidate_changes=3",UNCLEAR,,,True,25934,161,True,True,25928,True,4,,,32,qwen,3,81920,aime26_12,0.020291801477321236,0.0021004042056930183,0.1534432873902799,2,709,,0,0,0,ABSTAIN
int8_c128,LOW,"repeat=64@31280,52272;corrections=914;candidate_changes=2",UNCLEAR,,,True,22717,681,True,True,43426,True,3,,,64,qwen,2,81920,aime26_14,0.04356266406202303,0.004713697810450723,0.1859533895718628,2,914,,0,0,0,ABSTAIN
int8_c128,LOW,"repeat=64@78663,79082;corrections=728;candidate_changes=0",UNCLEAR,,,True,27494,503,True,False,39896,True,1,,,64,qwen,0,81920,aime26_18,0.019705756669311958,0.0014653982830417078,0.15036685263633365,2,728,,0,0,0,ABSTAIN
int8_c128,LOW,"repeat=32@3521,3598;corrections=658;candidate_changes=4",UNCLEAR,,,True,24112,754,True,True,30120,True,5,,,32,qwen,4,81920,aime26_22,0.05218240644649286,0.0077543992477622226,0.20161634905326387,2,658,,0,2,1,ABSTAIN
int8_c128,LOW,"first_gold=81071;repeat=64@16766,18405;corrections=660;candidate_changes=9",UNCLEAR,81071,81071,True,21339,669,True,True,27051,True,12,81071,81071,64,qwen,9,81920,aime26_24,0.10000610463341675,0.014238786650221602,0.30594655305018736,2,660,,0,4,2,ABSTAIN
int8_c128,MEDIUM,"first_gold=63714;repeat=100@47008,52593;corrections=513;candidate_changes=7",ANSWER_COMMIT_FAILURE,63714,63714,True,33898,132,True,False,36928,True,8,63714,63714,100,qwen,7,81920,aime26_26,0.0623649349856541,0.006521022359535444,0.23944917168215052,2,513,EARLY_GOLD_WITHOUT_COMMIT,0,1,0,ABSTAIN
int8_c128,LOW,"repeat=32@13668,14210;corrections=630;candidate_changes=4",UNCLEAR,,,False,81920,107,True,False,41305,True,11,,,32,qwen,4,81920,aime26_28,0.019363897197973268,0.0012333768882267782,0.1581556041165627,2,630,,0,0,0,ABSTAIN
int8_c128,MEDIUM,"repeat=64@526,2401;corrections=535;candidate_changes=25",REASONING_OSCILLATION,,,False,28710,393,True,False,33480,True,37,,,64,qwen,25,81920,aime26_30,0.03642024296440993,0.008267288646826798,0.18307228400864328,2,535,ANSWER_OSCILLATION,2,25,11,ABSTAIN
